,pmid,outcome,labels,full_text_values
259,29713086,['objective response rate (ORR)'],['Clinical'],"[['59/188 (31�4%) vs. 64/188 (34�0%); absolute difference -2�6%, (95%CI: -12�1 to 6�9), p=0�66', ""{'carboplatin': '17/25 (68�0%)', 'docetaxel': '6/18 (33�3%)', 'absolute difference': '34�7%', 'p-value': '0�03'}"", 'Carboplatin: 12/18 (66�7%); Docetaxel: 5/14 (35�7%); Absolute difference: 31�0%; p=0�15', 'Wildtype genotype in tumour: Carboplatin: 23/90 (25�6%); Docetaxel: 32/90 (35�6%); Absolute difference: -10�0%; p=0�20', '21.4%', '42.1%', '-20.7%', '0.28', '0.35', 'carboplatin: 4/14 (28.6%)', 'docetaxel: 11/17 (64.7%)', 'absolute difference: -36.1%', 'p-value: 0.07', 'carboplatin: 13/34 (38.2%); docetaxel: 19/47 (40.4%); absolute difference -2.2%, p=1.0', 'Basal-like TNBC: carboplatin vs docetaxel - 27/83 (32.5%) vs 27/87 (31.0%), absolute difference 1.5%, p=0.87', 'Non-basal-like tumours: docetaxel vs carboplatin - 13/18 (72.2%) vs 3/18 (16.7%), absolute difference -55.5%, p=0.002', ""{'carboplatin': '34.3%', 'docetaxel': '29.2%', 'absolute difference': '5.1%', 'p-value': '0.58'}"", ""{'non-basal 5 marker negative (5NP) tumours carboplatin': '19.2%', 'non-basal 5 marker negative (5NP) tumours docetaxel': '41.9%', 'absolute difference': '-22.7%', 'p-value': '0.09'}""]]"
260,29710125,['Age-adjusted CRC incidence and mortality stratified by sex'],['Mortality'],"[[""{'CRC incidence rate per 100,000 person-years (screening group)': 140.1, 'CRC incidence rate per 100,000 person-years (control group)': 153.6, 'Difference in CRC incidence rate per 100,000 person-years': -13.5, '95% CI for difference': '-35.4 to 8.5', 'Hazard Ratio (HR)': 0.92, '95% CI for HR': '0.79-1.07', '15-year CRC risk (screening group)': 1.86, '15-year CRC risk (control group)': 2.05, 'Risk difference': -0.19, '95% CI for risk difference': '-0.49 to 0.11'}"", ""{'CRC incidence rate per 100,000 person-years screening group': 131.4, 'CRC incidence rate per 100,000 person-years control group': 196.9, 'Difference in CRC cases per 100,000 person-years': -65.5, '95% CI for difference': '-36.9 to -80.8', 'Hazard Ratio (HR)': 0.66, '95% CI HR': '0.56-0.77', '15-year CRC risk screening group': 1.72, '15-year CRC risk control group': 2.5, 'Risk difference': -0.78, '95% CI for risk difference': '-1.08 to -0.48'}"", 'CRC mortality rate per 100,000 person-years: screening group 43.7, control group 43.3; HR of 1.01 (95% CI 0.77�1.33); 15-year CRC mortality risk: screening group 0.60%, control group 0.59%; risk difference 0.01% (95% CI ?0.16% to 0.18%)', ""{'Distal colorectal cancer death HR': '0.65', '95% CI': '(0.42�0.91)', 'Proximal colon cancer death HR': '0.60', 'Sigmoidoscopy screening alone HR': '0.64', 'Sigmoidoscopy with FOBT HR': '0.62'}"", ""{'Women: 14-year risk difference for CRC incidence': '-0.27%', 'Men: 14-year risk difference for CRC incidence': '-1.19%', 'Women: 14-year risk difference for CRC mortality': '-0.03%', 'Men: 14-year risk difference for CRC mortality': '-0.52%'}""]]"
261,29704618,"['Themes addressed by couples during sessions', 'Frequency of discussing issues related to end of life', 'Level of importance and acceptability of topics discussed']","['Life impact', 'Life impact', 'Life impact']","[['six', 'maintaining a semblance of normalcy and balance in their relationships with each other', 'challenges related to communicating with adult children, friends, and coworkers about illness-related issues and maintaining normalcy in these relationships', 'emotional impact of symptoms and treatment on both the patient and partner, as well as practical considerations and barriers to receiving adequate treatment for symptom relief, such as financial concerns and travel to and from the hospital', ""patient's desire to provide support for partner"", ""acknowledgement of partners' reluctance to burden patients with their emotional concerns"", 'This theme was represented by couples� discussions about their shared understanding of the patient�s prognosis, the uncertainty of disease progression and its influence on their day to day lives, and likely future treatment decisions. It also encompassed patient and partner anticipatory anxiety about upcoming medical tests and their reactions to the results of such tests.', '8 of 12'], ['9 of 12 couples addressed this theme.'], ['-']]"
262,29699509,"['quality of life (QOL)', 'well-being', 'fatigue', 'chemotherapy-induced reduction of QOL', 'Minimally Important Difference (MID)']","['Life impact', 'Life impact', 'Clinical', 'Life impact', 'Life impact']","[['FACT-G: OC mean 66.8 (�21.7), BC mean 80.5 (�15.3); FACIT-F: OC mean 33.5 (�10.3), BC mean 39.7 (�10.2); Total FACIT-F: OC mean 100.3 (�31.8), BC mean 120.2 (�21.7)', 'social/family well-being p = 0.042', 'no significant difference between group A and B', 'statistically and clinically significant beneficial effect', 'decrease of FACT-G (mean = 3.0) that was less than the MID', 'change of QOL for patients of group A across the normocaloric diet cycles c4-c6 was greater than the MID (mean 12.8.)', 'no statistically significant differences between the first 3 cycles and the second three cycles'], ['social/family well-being p = 0.042'], ['statistically and clinically significant beneficial effect'], ['not associated with a significant reduction', 'patients under STF did not perceive the change between FACT-G at day 0 and day 8 after chemotherapy as important', 'these patients perceived the chemotherapy-induced reduction of QOL as important', 'clinically significantly lower difference of TOI FACIT-F', 'mean difference above the Minimally Important Difference (MID) in normocaloric diet phase', 'mean difference below the MID in STF phase'], ['10.5 for first three cycles', '25.1 for cycles 4�6', '4.6 for cycles with STF', '8.1 for cycles with normocaloric diet']]"
263,29698416,"['Physical activity level', 'Physical fitness']","['Life impact', 'Life impact']","[['20.1 minutes (exercise group) vs 6 minutes (control group)', '378.2 � 297.6 minutes (moderate-intensity exercise, exercise group)'], ['11,079 � 3,540.9 steps per day (exercise group)', '5.13 � 1.85 days per week (resistance exercises, exercise group)', ""{'Step test': '-3.9 (exercise group) vs 2.6 (usual care group); p = 0.012', 'Push-up test': '3.0 (exercise group) vs -1.2 (usual care group); p = 0.012'}"", '6-minute walk test: no significant difference between groups; p = 0.754', 'Chair-to-standing repetitions: trend toward change, exercise group 0.2 vs usual care group -2.2; p = 0.137']]"
264,29697876,"['Progression-free survival (PFS) based on investigator assessment', 'Grade ?3 adverse events determined to be related to treatment']","['Clinical', 'Adverse Event']","[['12.5 months in the osimertinib group, 4.3 months in the platinum-pemetrexed group'], ['100% (22 patients) in the platinum-pemetrexed group', '12.2% in the osimertinib group', '54.5% in the platinum-pemetrexed group']]"
265,29696360,"['Response rate (RR)', 'Overall survival (OS)', 'Time to progression (TTP)', 'Toxicity', 'Exploratory biomarker analyses']","['Clinical', 'Mortality', 'Clinical', 'Adverse Event', 'Clinical']","[['15/20', ""{'supplemented': '42.1%', 'type': 'partial responses', 'number': 16, 'unsupplemented': '32.4%', 'unsupplemented_type': ['partial responses', 'complete response'], 'unsupplemented_number': [11, 1], 'p_value': 0.4}""], ['10.0 months (range 0.3�42.6) for the supplemented arm vs. 7.7 months (range 0.03�46.7) for the unsupplemented arm, p = 0.9'], ['5.9 months (range 1.4�33.5) for supplemented patients vs. 5.4 months (range 1.4�30.9) for unsupplemented patients, p = 0.9'], ['Grade 3 leukopenia was the most common severe toxicity in supplemented patients (22%); fatigue was the most common severe toxicity (24%) in unsupplemented patients.', 'Three supplemented patients suffered from grade 4 thrombopenia. Grade 4 thrombopenia was reported in one unsupplemented patient.', 'Two supplemented patients were diagnosed with an ischemic cerebrovascular accident (CVA) after two treatment cycles (grade 4 neurologic toxicity) and one patient was diagnosed with a hemorrhagic CVA three days after day 1 of the first chemotherapy cycle (grade 4 hemorrhage) and received no further study treatment.', 'Two unsupplemented patients deceased shortly after the first chemotherapy cycle, in 1 case probably due to cardiac arrhythmias likely caused by cardiac metastases and in the other case due to the occurrence of cardiac failure.', 'did not increase'], [""{'Homocysteine levels (?M)': {'Supplemented patients': '6.9 � 1.6; range 6.2�7.2', 'Unsupplemented patients': '12.5 � 4.0; range 11.7�13.4', 'p-value': '<0.001'}, 'Gemcitabine metabolite dFdU (?M)': {'Supplemented vs unsupplemented': 'increased; p < 0.05'}, 'Active gemcitabine metabolite dFdCTP (pmol/10^6 cells)': {'30 min: Supplemented vs unsupplemented': '255 � 190 vs 133 � 93', '90 min: Supplemented vs unsupplemented': '298 � 245 vs 226 � 101', 'p-value': '>0.1'}, 'Total cisplatin levels (?M)': {'Vitamin group': '15.7 � 2.7', 'No vitamin supplementation': '14.8 � 1.4', 'p-value': '<0.05'}, 'Free platinum levels (?M)': {'Vitamin group': '4.7 � 1.7', 'No vitamin supplementation': '3.6 � 0.7', 'p-value': '<0.05'}}"", ""{'Genetic polymorphisms in MTHFR 677C > T': '-999', 'Genetic polymorphisms in CDA 79A > C': '-999'}""]]"
266,29681185,"['Quality of life', 'Psychological well-being', 'Fear of cancer recurrence', 'Self-compassion', 'Compassion domains and mindfulness facets', 'Enrollment, adherence, and satisfaction with the intervention']","['Life impact', 'Life impact', 'Life impact', 'Life impact', 'Life impact', 'Life impact']","[[], ['significant Time � Group interaction: F(2, 96.863) = 3.521; P < .05'], [], ['F (2, 96.277) = 5.423; P < .01'], ['self-kindness [F(2, 97.453) = 5.769; P < .01]', 'common humanity [F(2, 98.323) = 6.161; P < .01]', 'Observing: CBCT group scored significantly higher than TAU group at postintervention (P < .05; d = 0.37; 95% CI [?0.19, 0.92]) and follow-up (P < .05; d = 0.43; 95% CI [?0.15, 1.01]).', 'Awareness: CBCT group scored significantly higher than TAU group at follow-up (P < .05; d = 0.45; 95% CI [?0.12, 1.04]).'], ['56 women enrolled; dropout rates: CBCT condition - 3/28 (11%) due to family obligations or schedule incompatibilities at posttest, additional 3/28 (11%) could not continue at follow-up due to family obligations, schedule incompatibilities, and health difficulties; TAU condition - 3/28 (11%) dropped out due to schedule incompatibilities and health difficulties at posttest, no dropouts at follow-up', '27 participants (96.4%) attended 5 or more of the 8 sessions', '25 (89.30%) participants practiced at home from 12 to 24 or more minutes in total, across all 8 weeks', '25 (89.30%) participants practiced on their own with the meditation recordings', '9 (32.15%) of the 28 participants used the prerecorded meditation between 60% and 90% of the time', '13 (46.50%) participants practiced from 4 to 7 days a week', '25 participants (89.30%) indicated that they would participate in future CBCT courses if offered and that they would continue to practice after the course program ended', '26 (92.90%) said that they were satisfied with the program and that they would recommend CBCT to other participants']]"
267,29678994,"['time until initiation of active therapy', 'disease progression (prostate specific antigen)', 'body composition and muscle density', 'quality of life', 'distress and anxiety']","['Resource use', 'Clinical', 'Clinical', 'Life impact', 'Life impact']","[['The primary outcome (time to initiation of curative therapy) will be analysed using Cox proportional hazards regression.'], [], [], [], []]"
268,29676944,"['late distant recurrence (DR)', 'time to late DR']","['Adverse Event', 'Mortality']","[['7.0%', '5.5%', 'significantly more prognostic information compared with CTS0', '� 95% CI', '42.0% low risk', '31.3% intermediate risk', '26.7% high risk', '25', 'HR, 2.20; 95% CI, 1.96 to 2.47; P < .001', 'significant difference in 9th decile for node-positive patients', 'correlation (r) between observed and expected numbers: 0.88 for node-negative, 0.94 for node-positive', '3.6% (95% CI, 2.7% to 4.9%) for low-risk group', '6.9% (95% CI, 5.6% to 8.5%) for intermediate-risk group', '17.3% (95% CI, 14.8% to 20.1%) for high-risk group', 'HR, 2.19; 95% CI, 1.61 to 2.98 (for low- versus intermediate-risk groups)', 'HR, 5.33; 95% CI, 4.02 to 7.07 (for low- versus high-risk groups)', 'CTS5 < 3.13: low-risk', 'CTS5 3.13 to 3.86: intermediate-risk', 'CTS5 > 3.86: high-risk'], ['annual hazard rate of 0.79% (95% CI, 0.71% to 0.88%)', 'annual hazard rate of 0.66% (95% CI, 0.60% to 0.73%)', 'HR, 2.47 v 2.04', 'HR, 2.50; 95% CI, 2.22 to 2.81 v 2.39; 95% CI, 1.94 to 2.95', ""{'low risk': '2.5% (95% CI, 1.8% to 3.4%)', 'intermediate-risk': '7.7% (95% CI, 6.3% to 9.5%)', 'high-risk': '20.3% (95% CI, 17.2% to 24.0%)'}"", ""{'low risk vs intermediate or high risk': '3.42-fold (95% CI, 2.37- to 4.95-fold) or 9.43-fold (95% CI, 6.71- to 13.25-fold)'}""]]"
269,29675616,"['FACT-B general subscales', 'latent well-being variables: physical, social/family, emotional and functional well-being', 'longitudinal changes in FACT-B responses']","['Life impact', 'Life impact', 'Clinical']","[[], ['Wphysical', 'Wsocial', 'Wemotional', 'Wfunctional', 'Eta-shrinkage for all four well-being variables ranged 8.8�16%', ""{'physical': '-0.251', 'social/family': '-0.244', 'emotional': '0.295', 'functional': '0'}"", 'social/family (dOFV = ?73.6, estimated coefficient of ?0.441)', 'functional (dOFV = ?22.7, estimated coefficient of ?0.181)', 'all p > 0.1'], []]"
270,29671955,"['Prevalence', 'co-occurrence', 'tobacco smoking', 'alcohol consumption', 'depressive symptoms', 'Current smoking', 'Hazardous alcohol use', 'Likely presence of a major depressive episode (MDE)']","['Life impact', 'Clinical', 'Adverse Event', 'Adverse Event', 'Clinical', 'Life impact', 'Adverse Event', 'Clinical']","[['56%', '21%'], [], [], [], [], ['?4 CO PPM'], ['AUDIT-C score ?3 for women, ?4 for men'], ['PHQ-9 score ?8']]"
271,29670295,"['telomere length', 'lung cancer risk', 'overall lung cancer', 'adenocarcinoma', 'histotypes', 'chromosome 5p telomere length', '13q telomere length']","['Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical']","[[], ['suggestively elevated among individuals with global telomere length in the longest tertile'], [], ['40% cases, 42% controls', 'ORs (95% CI) for longest versus shortest tertile, respectively: 2.26 (1.03�4.96); 2.22 (1.13�4.35); and 2.21 (0.99�4.93)'], ['No clear patterns were observed'], ['?0.087 (Spearman correlation), p = 0.00009'], ['?0.063 (Spearman correlation), p = 0.006']]"
272,29669529,"['quality of life', 'mean social-emotional subscale (UWQOLv4) score', 'Distress Thermometer (DT) score ? 4', 'key health economic measures (QALY-EQ-5D-5 L; CSRI)']","['Life impact', 'Life impact', 'Life impact', 'Resource use']","[['percentage of participants with less than good overall quality of life at the final one-year clinic'], [], [], []]"
