Pmid,Age,Sex,Condition,Samplesize,Eligibility,Unnamed: 6
41440179,,,['colorectal cancer'],44 patients,"['The given text chunk describes an exclusion criterion for the population under study, which means that individuals who have participated in any previous physical exercise program within the last 8 weeks are not eligible. Therefore, the eligibility of the population under study is defined by those who have not engaged in any such programs during this time period.\n\nAnswer: Not having participated in any previous physical exercise programme in the last 8 weeks.', 'voluntary participation', 'The eligibility criterion for the population under study is being over 18 years old.', '44']",
41436191,['22-70 years'],['female'],['high risk triple negative breast cancer'],808 patients,"[['regional node positive', 'node negative with Ki-67 labelling index of ?50%']]",
41431032,['45–74 years'],"['female', 'male and female']",['esophageal cancer '],['90 patients'],"['The eligibility criteria for the population under study include adults aged 18 years or older who are scheduled for Ivor-Lewis or McKeown esophagectomy, have intraoperative placement of a naso-jejunal tube with early enteral nutrition initiated within 24 hours postoperatively, provide complete baseline data and at least one post-intervention measurement for each outcome domain (gastrointestinal, nutritional, and immune), and give written informed consent. Excluded are patients who fail to commence enteral nutrition within the predefined window, undergo reoperation, experience anastomotic leak or death within 7 days after surgery, have missing primary outcome measures, loss to follow-up, withdrawal, severe dysfunction of heart, brain, liver, or kidney, concurrent metabolic or endocrine disorders, and psychiatric illness impairing cooperation. A total of 90 patients met these criteria and were included in the study.', 'The eligibility criteria for the population under study include age range of 42 to 74 years, disease duration between 3 months to 2 years, and both males and females are included as there is no specific mention of sex/gender restriction. The sample size consists of 26 males and 19 females in the intervention group, and 29 males and 16 females in the control group.', '1032 records after duplicates removal']",
41429438,['40.5±8.9 years'],['61.4% male'],['family cancer history'],['841 participants'],"['15', ""100 full-time employees, average turnover rate <20% in past 3 years, employer's willingness to participate and support project implementation, routine provision of employee health examinations, mix of physically demanding and non-physical occupations such as manufacturing sector."", '841', 'employees agreed to receive the intervention through smartphone applications, were capable of ensuring regular work attendance, had no intention of retiring or quitting the job within the next 3 years, consented to be surveyed regarding the outcome assessment and signed the informed consent form.']",
41421991,['older cancer patients (≥70 years)'],['female'],['cancer'],500 patients,"['Eligible population under study includes male or female patients aged 70 years or older with solid tumours, either metastatic or advanced stage, requiring systemic treatment (oral or intravenous chemotherapy, hormone therapy, targeted therapy, or immunotherapy). Patients must have a performance status ≤2, MMS score ≥7, and at least 3 months of life expectancy. They should be able to swallow tablets and complete questionnaires in French. Excluded are patients receiving melatonin treatment or who discontinued it less than three months prior; those with haematological cancer or autoimmune disease; and those with a known or suspected history of alcohol abuse. Patients were eligible for inclusion at the start of a new line of treatment, with 500 participants planned (250 in each group).', '250 patients per arm']",
41414773,['adults'],['female'],"['locally advanced, non-metastatic breast cancer']",132 patients,"['Women aged 18 years and above, diagnosed for the first time with histologically confirmed, non-metastatic cancer (stage I-III), scheduled to receive weekly paclitaxel chemotherapy at a dose of 80 mg/m2. Excluded: history of peripheral neuropathy, absence of SNAP or CMAP in baseline nerve conduction studies, severe ischemic heart disease, severe congestive cardiac failure, acute myocardial infarction within the past 3 months, acute exacerbations of COPD or asthma, moderate to severe alcohol use disorder (DSM-5 criteria), unwillingness to provide consent.', '132']",
41413016,['18-75 years'],['female'],"['advanced breast cancer', 'cancer', 'perimenopause', 'Bone metastasis']",287 patients,"[['HR-positive', 'HER2-negative']]",
41411643,['<60 years'],['female'],['gastric cancer'],180 patients,['postgastrectomy'],
41410532,['18 years and above'],['female'],['lung cancer'],246 patients,"['The eligibility criteria for the population under study include confirmed or suspected NSCLC with clinical stage I to III, age >18 years, preoperative staging including chest X-ray, computed tomography, positron-emission tomography-computed tomography, bronchoscopy, and EBUS, and appropriate general fitness according to European Respiratory Society and ESTS guidelines. Exclusion criteria include history of other malignancies except non-melanoma skin cancer, neoadjuvant therapy, and pathological confirmation of tumor other than NSCLC.', '246']",
41409261,['35-55 years'],['female'],['breast cancer'],116 patients,"['female breast cancer patients aged 35–55 years, scheduled for elective breast surgery, ASA physical status I–II, no CNS-affecting medications or substance abuse history, no chronic sleep disorders within preceding 30 days, no severe cardiovascular, hepatic, or renal dysfunction, no known allergy to esketamine, not pregnant or lactating, able and willing to provide informed consent and comply with study procedures']",
41406937,['≥70 years'],['female'],['metastatic triple negative breast cancer (mTNBC)'],['87 patients'],"['70 patients were included in stage 1, of whom 67 received at least one cycle of nivolumab and were available for efficacy analysis. In stage 2, an additional 47 patients were enrolled, of whom 44 received at least one cycle of nivolumab and were available for efficacy analysis.', '87 female patients enrolled in stage 1 and stage 2 of the TONIC-trial with paired plasma samples available at baseline (n = 87) and at least one follow-up timepoint at week 6 (n = 85) and/or week 12 (n = 54).', '87']",
41406506,['not specified'],"['female', 'sex']","['unresectable, liver-limited CRC']",['101 patients'],"['The eligibility criteria for the population under study include patients with histologically proven colorectal cancer (CRC) who have isolated, chemo-naive, and initially unresectable liver metastases (CRLM). At inclusion, all patients were deemed unresectable, meaning an R0 resection could not be achieved in a single surgical procedure.', 'age, sex']",
41404555,['≥18 years'],"['female', 'ethnicity']",['breast cancer'],488 patients,"['female', 'age ≥18 years, pathologically or cytologically confirmed breast cancer, clinically stable, expected survival >6 months, intact communication ability, willingness to complete intervention and assessment', 'The given text chunk describes exclusion criteria for the population under study, which means it outlines conditions that disqualify individuals from participating in the research. The eligibility of the population is therefore defined by the absence of these conditions.\n\n1. Metastatic cancer or comorbid malignancies: Individuals with metastatic cancer or other concurrent cancers are excluded.\n2. Diagnosed psychiatric disorders or recent major psychological trauma: Participants with diagnosed psychiatric disorders or those who have experienced significant psychological trauma recently are not eligible for this study.\n3. GHQ-12 screening score above threshold: Those scoring higher than the established threshold on the General Health Questionnaire (GHQ)-12, a standardized tool used to assess mental health, are excluded.\n\nIn summary, the eligibility criteria for the population under study in this research involve the absence of metastatic cancer or comorbid malignancies, diagnosed psychiatric disorders or recent major psychological trauma, and GHQ-12 screening scores above threshold.', '488']",
